ВОР;ВОР_факт;ВОР_остаток;Ед_изм;%_выполнения_ВОР;Осталось_дней_прогноз;ЛОТ_ID;Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД
;;;;;;;0%;84 д;14.11.26;05.02.27;06.06.27;28.08.27;84 д;;;4;СМР;65;801;;;НД;ПРОМЫШЛЕННЫЕ ПОЛЫ, ПОЛЫ АБК, ПЕРЕКРЫТИЯ, ПОКРЫТИЯ;ЛОТ №17;;4;
;;;;;;;0%;55 д;14.11.26;07.01.27;06.06.27;30.07.27;55 д;;;5;СМР;66;802;;;НД;ОСНОВАНИЕ ПОД ПОЛЫ;17.1;;4;
40000;;;м2;;;;0%;55 д;14.11.26;07.01.27;06.06.27;30.07.27;55 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;67;803;14ОН-29 д;69НН+29 д;НД;Основание под полы (стабилизация грунта + щебень 80 мм/песок 100 мм + геотекстиль);;;5;
;;;;;;;0%;55 д;13.12.26;05.02.27;05.07.27;28.08.27;55 д;;;5;СМР;68;804;;;НД;ПРОМЫШЛЕННЫЕ ПОЛЫ;17.2;;4;
40000;;;м2;;;;0%;55 д;13.12.26;05.02.27;05.07.27;28.08.27;55 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;69;805;67НН+29 д;"71НН;72НН;73НН";НД;Работы по устройству монолитной железобетонной плиты пола проектной толщиной 200мм, с армированием (нижний пояс) стержневой арматурой класса А500 O10 с ячейкой 200х200мм, из бетона класса В25, с нанесением упрочняющего покрытия, с устройством температурно;;;5;
;;;;;;;0%;40 д;13.12.26;21.01.27;05.07.27;13.08.27;40 д;;;5;СМР;70;806;;;НД;Полы АБК/перекрытия/покрытие;17.3;;4;
7000;;;м2;;;;0%;40 д;13.12.26;21.01.27;05.07.27;13.08.27;40 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;71;807;69НН;94;НД;Основание под плиту пола в АБК: песок 200, щебень фр.20-40 - 200, пленка (геотекстиль);;;5;
7000;;;м2;;;;0%;40 д;13.12.26;21.01.27;05.07.27;13.08.27;40 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;72;808;69НН;94;НД;Устройство монолитной ж/б плиты пола в АБК толщ. 140мм с утеплением;;;5;
7000;;;м2;;;;0%;40 д;13.12.26;21.01.27;05.07.27;13.08.27;40 д;Не передан фронт работ;"В связи с остановкой СМР компании ООО ""СВ"" и заменой последних на нового КА";6;СМР;73;809;69НН;94;НД;Устройство монолитной плиты перекрытия 170мм по смонтированному профлисту бетоном В25 (вкл. температурно-усадочный и деформационные швы, монолитный армированный пояс);;;5;
;;;;;;;0%;62 д;05.12.26;04.02.27;27.06.27;27.08.27;62 д;;;4;СМР;74;810;;;НД;ДЕКОР ФАСАДОВ;ЛОТ №18;;4;
2500;;;м2;;;;0%;62 д;05.12.26;04.02.27;27.06.27;27.08.27;62 д;Не передан фронт работ;;5;СМР;75;811;29ОН-46 д;94;НД;Монтаж металлокасет и декоративного перфорированного листа;;;5;
;;;;;;;0%;137 д;12.09.26;26.01.27;04.04.27;18.08.27;137 д;;;4;СМР;76;812;;;НД;ВНУТРЕННИЕ СЕТИ;ЛОТ №19;;4;
;;;;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;;;5;СМР;77;813;;;НД;ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ;19.1;;4;
600;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;78;815;14ОН-50 д;94;НД;Хозяйственно-бытовой водопровод, включая пожарный водопровод (холодное и горячее водоснабжение) Light Industrial;;;5;
600;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;79;816;14ОН-50 д;94;НД;Система хоз-бытовой и ливневой канализации Light Industrial;;;5;
600;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;80;817;14ОН-50 д;94;НД;Вентиляция Light Industrial;;;5;
600;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;81;818;14ОН-50 д;94;НД;Отопление и теплоснабжение Light Industrial;;;5;
600;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;82;820;14ОН-50 д;94;НД;Противопожарные резервуары 2*250 м3 с насосной станцией;;;5;
;;;;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;;;5;СМР;83;821;;94;НД;ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ;19.2;;4;
1500;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;84;824;14ОН-50 д;94;НД;Электроснабжение (ЭОМ) Light Industrial;;;5;
1500;;;пог.м;;;;0%;90 д;24.10.26;21.01.27;16.05.27;13.08.27;90 д;Не передан фронт работ;;6;СМР;85;825;14ОН-50 д;94;НД;Светильники Light Industrial;;;5;
;;;;;;;0%;137 д;12.09.26;26.01.27;04.04.27;18.08.27;137 д;;;5;СМР;86;827;;;НД;ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ;19.3;;4;
600;;;пог.м;;;;0%;45 д;13.12.26;26.01.27;05.07.27;18.08.27;45 д;Не передан фронт работ;;6;СМР;87;829;14;94;НД;Система управления оповещением и эвакуацией СОУЭ Автоматическая пожарная сигнализация АПС Комплексная автоматизация;;;5;
600;;;пог.м;;;;0%;120 д;12.09.26;09.01.27;04.04.27;01.08.27;120 д;;;6;СМР;88;830;14ОН-92 д;94;НД;Спринклерная система пожаротушения АУПТ (включая пожарный водопровод);;;5;
;;;;;;;0%;90 д;12.11.26;09.02.27;04.06.27;01.09.27;90 д;;;4;СМР;89;831;;;НД;ОТДЕЛОЧНЫЕ РАБОТЫ;ЛОТ №20;;4;
10000;;;м2;;;;0%;90 д;12.11.26;09.02.27;04.06.27;01.09.27;90 д;;;5;СМР;90;832;30ОН-59 д;94;НД;"Отделочные работы (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;
10000;;;м2;;;;0%;90 д;12.11.26;09.02.27;04.06.27;01.09.27;90 д;;;5;СМР;91;833;30ОН-59 д;94;НД;"Отделочные работы АБК 9,3*6м-2эт. (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат/керамогранит; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;
10000;;;м2;;;;0%;90 д;12.11.26;09.02.27;04.06.27;01.09.27;90 д;;;5;СМР;92;834;30ОН-59 д;94;НД;"Отделочные работы пристройки под офис/ТЦ (потолок - окраска, сан.узел - грильято; стены - штукатурка под бетон, сан.узел - керамогранит/окраска; полы - ламинат/керамогранит; перегородки - ГКЛВ/ГКЛВО). Двери, окна, лестница -НЕ ВХОДЯТ В СТОИМОСТЬ.";;;5;
10000;;;м2;;;;0%;90 д;12.11.26;09.02.27;04.06.27;01.09.27;90 д;;;5;СМР;93;835;30ОН-59 д;;НД;Внутренние двери деревянные размером 970*2080мм;;;5;
;;;;;;;0%;0 д;12.03.27;12.03.27;02.10.27;02.10.27;0 д;;;4;;94;2417;"32;39;19;20;21;22;23;34;35;36;37;38;43;44;45;46;49;52;53;54;55;58;59;71;72;73;75;78;79;80;81;82;83;84;85;87;88;90;91;92";;НД;Завершение СМР;;;5;
